Borough ID,District Number,Food waste in tons,Population,Food Waste per person,Food waste per person in pounds,Median Household Income,Populationaged65,PercentagePopulationaged65,Populationaged25withabachelorsdegreeorhigher,PercentagePopulationaged25withabachelorsdegreeorhigher,Populationaged25withouthighschooldiploma,PercentagePopulationaged25withouthighschooldiploma,Income Diversity Index,Unemployment rate,PercentageUnemployment,RacialDiversityIndex,Poverty Rate,PercentagePoverty,Householdswithchildrenunder18yearsold,Poverty Rate,PercentagePoverty,Householdswithchildrenunder18yearsold,PercentageHouseholdswithchildrenunder18yearsold
3,15,1181.8,158213,0.007469676954,14.93935391,62723.90269,0.196482,19.6482,0.388452,38.8452,0.134332,13.4332,6.477102804,0.045114,4.5114,0.546666,0.144589,14.4589,0.297482,0.144589,14.4589,0.297482,29.7482
3,16,352,122128,0.002882221931,5.764443862,32984.33156,0.11013,11.013,0.150609,15.0609,0.221951,22.1951,7,0.0638149,6.38149,0.443754,0.278395,27.8395,0.275077,0.278395,27.8395,0.275077,27.5077
4,2,918.2,137490,0.006678303877,13.35660775,72235.56413,0.126271,12.6271,0.40482,40.482,0.157284,15.7284,4.566666667,0.04343,4.343,0.682785,0.0779524,7.79524,0.260199,0.0779524,7.79524,0.260199,26.0199
4,5,1774.4,186441,0.009517219925,19.03443985,77996.23372,0.129542,12.9542,0.303568,30.3568,0.155741,15.5741,4.46474359,0.0409443,4.09443,0.60594,0.0975558,9.75558,0.342919,0.0975558,9.75558,0.342919,34.2919
4,7,2696.6,239000,0.01128284519,22.56569038,54043.76194,0.214326,21.4326,0.268364,26.8364,0.244109,24.4109,5.020325203,0.0454497,4.54497,0.61742,0.143394,14.3394,0.261411,0.143394,14.3394,0.261411,26.1411
4,8,1133.8,164615,0.006887586186,13.77517237,71479.26659,0.153765,15.3765,0.423616,42.3616,0.122234,12.2234,5.037037037,0.070659,7.0659,0.736032,0.129799,12.9799,0.298656,0.129799,12.9799,0.298656,29.8656
4,9,2502.9,139079,0.01799624674,35.99249347,72982.71291,0.144795,14.4795,0.301191,30.1191,0.208439,20.8439,4.646464646,0.0527629,5.27629,0.720622,0.125081,12.5081,0.337992,0.125081,12.5081,0.337992,33.7992
4,10,950.7,128937,0.007373368389,14.74673678,76839.42377,0.161311,16.1311,0.260918,26.0918,0.207218,20.7218,4.531722054,0.0562755,5.62755,0.809041,0.0873786,8.73786,0.331412,0.0873786,8.73786,0.331412,33.1412
4,11,1953.3,115744,0.01687603677,33.75207354,87765.07699,0.21291,21.291,0.448103,44.8103,0.124772,12.4772,3.55952381,0.0354289,3.54289,0.613352,0.0609326,6.09326,0.268107,0.0609326,6.09326,0.268107,26.8107
4,13,5260.542578,187761,0.0280172271,56.03445421,92918.87879,0.189118,18.9118,0.331532,33.1532,0.123553,12.3553,3.818604651,0.0596871,5.96871,0.624928,0.0709112,7.09112,0.31237,0.0709112,7.09112,0.31237,31.237
4,14,948.3,127676,0.007427394342,14.85478868,61652.48117,0.139094,13.9094,0.337121,33.7121,0.161926,16.1926,6.468181818,0.0749296,7.49296,0.696637,0.163977,16.3977,0.376627,0.163977,16.3977,0.376627,37.6627
5,1,2362.8,174606,0.01353218102,27.06436205,74357.06006,0.138208,13.8208,0.339572,33.9572,0.178993,17.8993,6.938095238,0.0552376,5.52376,0.721602,0.169525,16.9525,0.330137,0.169525,16.9525,0.330137,33.0137
1,1,192.8,148982,0.001294116068,2.588232135,150081.3496,0.14291,14.291,0.809077,80.9077,0.117118,11.7118,6.58,0.0461374,4.61374,0.447625,0.0884715,8.84715,0.160962,,,,
1,6,199.9,149674,0.001335569304,2.671138608,116419.2791,0.177826,17.7826,0.806965,80.6965,0.242671,24.2671,5.856818182,0.0609514,6.09514,0.497795,0.0801357,8.01357,0.0992196,,,,
1,7,242.5,207134,0.001170739714,2.341479429,128343.7011,0.200691,20.0691,0.796099,79.6099,0.226715,22.6715,9.210526316,0.0521928,5.21928,0.494147,0.0991088,9.91088,0.207679,,,,
1,8,158.4,214219,0.0007394302093,1.478860419,136065.4144,0.192411,19.2411,0.836552,83.6552,0.102861,10.2861,5.172413793,0.055488,5.5488,0.419806,0.0606219,6.06219,0.175083,,,,
1,9,319.2,136017,0.002346765478,4.693530956,51845.49334,0.130837,13.0837,0.447831,44.7831,0.193905,19.3905,8.242424242,0.207454,20.7454,0.725281,0.227496,22.7496,0.210884,,,,
2,8,424.8,113242,0.003751258367,7.502516734,55924.92814,0.191554,19.1554,0.387317,38.7317,0.103638,10.3638,6.19047619,0.053268,5.3268,0.647067,0.184964,18.4964,0.301936,,,,
2,10,893.3,113395,0.007877772389,15.75554478,61659.75573,0.208325,20.8325,0.284463,28.4463,0.066158,6.6158,5.795889101,0.0255133,2.55133,0.691927,0.102201,10.2201,0.277344,,,,
3,1,500.2,152002,0.003290746174,6.581492349,79359.40605,0.115308,11.5308,0.534073,53.4073,0.409902,40.9902,7.714746544,0.135409,13.5409,0.530685,0.233335,23.3335,0.194612,,,,
3,6,1383.1,116209,0.01190183204,23.80366409,139645.538,0.0987101,9.87101,0.733534,73.3534,0.116462,11.6462,4.930966469,0.0476766,4.76766,0.553682,0.0778846,7.78846,0.322347,,,,
3,7,1241.1,144332,0.008598924701,17.1978494,58826.52714,0.107377,10.7377,0.29313,29.313,0.154241,15.4241,6.25,0.048298,4.8298,0.681423,0.221474,22.1474,0.409016,,,,
3,10,1583,123488,0.01281905934,25.63811868,71145.63294,0.171021,17.1021,0.416183,41.6183,0.365965,36.5965,5.064285714,0.144522,14.4522,0.635926,0.151506,15.1506,0.283997,,,,
4,5,2380.3,199043,0.01195872249,23.91744497,73792.39675,0.117065,11.7065,0.290145,29.0145,0.114342,11.4342,4.333333333,0.0780404,7.80404,0.59372,0.0844256,8.44256,0.341752,,,,
4,10,1370.7,139323,0.009838289443,19.67657889,76544.82394,0.13969,13.969,0.229345,22.9345,0.148426,14.8426,4.113772455,0.0766885,7.66885,0.795942,0.1038,10.38,0.354541,,,,
4,11,2841.7,118670,0.02394623747,47.89247493,72674.64405,0.227218,22.7218,0.379197,37.9197,0.36659,36.659,4.464516129,0.159737,15.9737,0.63191,0.0975641,9.75641,0.245637,,,,
5,1,1798.4,176632,0.01018162054,20.36324109,65128.00045,0.131239,13.1239,0.3008,30.08,0.197845,19.7845,6.913265306,0.0717669,7.17669,0.70794,0.178726,17.8726,0.340623,,,,
1,1,169.5,152813,0.001109198825,2.218397649,144920.1012,0.116463,11.6463,0.801471,80.1471,0.142849,14.2849,6.82,0.0556043,5.56043,0.40203,0.0800945,8.00945,0.182456,,,,
1,7,176.6,189492,0.0009319654656,1.863930931,117522.4813,0.219339,21.9339,0.769494,76.9494,0.220657,22.0657,8.805555556,0.0514113,5.14113,0.485157,0.103973,10.3973,0.139366,,,,
1,8,81.7,219004,0.000373052547,0.746105094,123543.8317,0.180905,18.0905,0.808537,80.8537,0.0926573,9.26573,5.46,0.0627055,6.27055,0.444634,0.0652591,6.52591,0.178374,,,,
1,9,108,125195,0.0008626542594,1.725308519,51789.3174,0.117425,11.7425,0.448703,44.8703,0.260792,26.0792,7.66,0.140154,14.0154,0.727091,0.275085,27.5085,0.255392,,,,
2,8,301,108865,0.002764892298,5.529784596,61572.82368,0.17417,17.417,0.37552,37.552,0.111699,11.1699,5.5,0.0679196,6.79196,0.636726,0.178227,17.8227,0.284857,,,,
2,10,497.9,111431,0.004468235949,8.936471897,62737.80343,0.209744,20.9744,0.255065,25.5065,0.0419474,4.19474,3.846153846,0.0392204,3.92204,0.678787,0.146938,14.6938,0.269756,,,,
3,1,187.2,166361,0.001125263734,2.250527467,73606.01887,0.0916982,9.16982,0.477076,47.7076,0.369326,36.9326,6.204081633,0.105416,10.5416,0.52367,0.208639,20.8639,0.226827,,,,
3,6,1516.8,114007,0.01330444622,26.60889244,109709.8292,0.0942749,9.42749,0.716239,71.6239,0.109786,10.9786,5.93824228,0.0528109,5.28109,0.551766,0.1058,10.58,0.313185,,,,
3,7,1035.4,149399,0.006930434608,13.86086922,56258.06565,0.0995723,9.95723,0.276273,27.6273,0.138758,13.8758,5.53,0.0442199,4.42199,0.682789,0.257568,25.7568,0.395687,,,,
3,10,1482.1,118804,0.01247516919,24.95033837,70310.6999,0.150433,15.0433,0.40418,40.418,0.325057,32.5057,5.620833333,0.116321,11.6321,0.604579,0.150407,15.0407,0.275276,,,,
4,5,1684.9,192600,0.008748182762,17.49636552,78905.99021,0.110981,11.0981,0.288438,28.8438,0.12559,12.559,4.076433121,0.0791545,7.91545,0.584503,0.0909314,9.09314,0.33963,,,,
4,10,2053.3,135422,0.01516223361,30.32446722,76550.6821,0.133154,13.3154,0.225865,22.5865,0.151849,15.1849,3.901734104,0.0837147,8.37147,0.812126,0.138567,13.8567,0.390231,,,,
5,1,1419.5,174943,0.00811407144,16.22814288,69259.78889,0.128585,12.8585,0.294963,29.4963,0.193461,19.3461,5.36,0.0923829,9.23829,0.721429,0.209689,20.9689,0.371521,,,,
1,1,146.4,153302,0.0009549777563,1.909955513,130405.8556,0.113508,11.3508,0.835029,83.5029,0.156829,15.6829,5.135714286,0.0610463,6.10463,0.479794,0.0736603,7.36603,0.142625,,,,
1,7,166.7,189827,0.0008781680161,1.756336032,107866.2424,0.197627,19.7627,0.735886,73.5886,0.257334,25.7334,9.666666667,0.0589586,5.89586,0.529023,0.116699,11.6699,0.136896,,,,
1,8,122.9,214571,0.0005727707845,1.145541569,109375.7869,0.200451,20.0451,0.779326,77.9326,0.109327,10.9327,6.086956522,0.0708097,7.08097,0.417461,0.0452909,4.52909,0.180685,,,,
2,10,471.4,116042,0.004062322263,8.124644525,54296.62893,0.205305,20.5305,0.248895,24.8895,0.0341641,3.41641,5.709677419,0.0416134,4.16134,0.7008277141,0.118062,11.8062,0.24,,,,
3,6,1213.3,117037,0.01036680708,20.73361416,119002.0689,0.0990456,9.90456,0.763731,76.3731,0.100631,10.0631,4.982222222,0.048364,4.8364,0.524737,0.084893,8.4893,0.290075,,,,
3,7,1092,149773,0.007291033764,14.58206753,48277.66719,0.100258,10.0258,0.281221,28.1221,0.160257,16.0257,5.499199146,0.0524106,5.24106,0.681982,0.315649,31.5649,0.398412,,,,
3,10,1168.1,122418,0.009541897433,19.08379487,68728.04516,0.164861,16.4861,0.421537,42.1537,0.368753,36.8753,5.076923077,0.157358,15.7358,0.601466,0.139103,13.9103,0.281271,,,,
4,5,1462.7,186458,0.007844662069,15.68932414,66503.22852,0.111913,11.1913,0.269208,26.9208,0.170596,17.0596,4.307142857,0.0939461,9.39461,0.575231,0.122963,12.2963,0.372745,,,,
5,1,1353.2,170280,0.00794691097,15.89382194,59660.10246,0.124747,12.4747,0.315325,31.5325,0.202252,20.2252,6.470588235,0.105494,10.5494,0.725959,0.218464,21.8464,0.383977,,,,
2,10,407.6,121209,0.003362786592,6.725573184,58749.75894,0.198013,19.8013,0.271717,27.1717,0.0401894,4.01894,4.647887324,0.0439678,4.39678,0.690088,0.109928,10.9928,0.310499,,,,
3,7,972.2,152685,0.006367357632,12.73471526,51362.48074,0.0751613,7.51613,0.265287,26.5287,0.161381,16.1381,4.975369458,0.0703862,7.03862,0.669526,0.275736,27.5736,0.411621,,,,
5,1,728.7,176338,0.004132404813,8.264809627,61571.69707,0.114303,11.4303,0.296589,29.6589,0.197803,19.7803,6.629032258,0.136041,13.6041,0.72338,0.224888,22.4888,0.358277,,,,
