Borough,District,Population,Householdswithchildrenunder18yearsold,RacialDiversityIndex,Populationaged65,Populationaged25withabachelorsdegreeorhigher,Populationaged25withouthighschooldiploma,Unemployment rate,PercentageUnemployment,Poverty Rate,PercentagePoverty,Food waste in tons,Foodscraps per person,Food waste per person in pounds,Median Household Income
4,5,192600,0.33963,0.584503,0.110981,0.288438,0.12559,0.0791545,7.91545,0.0909314,9.09314,1684.9,0.005396842543,10.79368509,78905.99021
4,6,111730,0.186324,0.639958,0.194845,0.594537,0.226156,0.0885484,8.85484,0.131413,13.1413,,#DIV/0!,#DIV/0!,74531.24304
4,7,245864,0.280034,0.60321,0.178774,0.265832,0.0407417,0.0331804,3.31804,0.158729,15.8729,,#DIV/0!,#DIV/0!,53913.31946
4,8,166115,0.307115,0.749787,0.151082,0.411646,0.177813,0.035191,3.5191,0.134056,13.4056,,#DIV/0!,#DIV/0!,70386.74573
4,9,164094,0.380576,0.710047,0.108925,0.269869,0.427687,0.0530562,5.30562,0.133754,13.3754,,#DIV/0!,#DIV/0!,70269.50842
4,10,135422,0.390231,0.812126,0.133154,0.225865,0.151849,0.0837147,8.37147,0.138567,13.8567,2053.3,0.006748502411,13.49700482,76550.6821
4,11,117381,0.288932,0.653167,0.192842,0.410023,0.343143,0.127352,12.7352,0.0764139,7.64139,,#DIV/0!,#DIV/0!,83560.62825
4,12,243300,0.373483,0.581969,0.123268,0.22113,0.03112,0.0338344,3.38344,0.111915,11.1915,,#DIV/0!,#DIV/0!,63468.68828
4,13,214163,0.352793,0.648325,0.159047,0.292379,0.0389848,0.0517672,5.17672,0.0833009,8.33009,,#DIV/0!,#DIV/0!,85075.20755
4,14,127381,0.363155,0.708716,0.136261,0.2771,0.272426,0.0903377,9.03377,0.228162,22.8162,,#DIV/0!,#DIV/0!,46855.84467
5,1,174943,0.371521,0.721429,0.128585,0.294963,0.193461,0.0923829,9.23829,0.209689,20.9689,1419.5,0.01477203241,29.54406481,69259.78889
5,2,142815,0.370669,0.501805,0.164366,0.342885,0.167162,0.0608212,6.08212,0.119828,11.9828,,#DIV/0!,#DIV/0!,86769.33948
1,1,153302,0.142625,0.479794,0.113508,0.835029,0.156829,0.0610463,6.10463,0.0736603,7.36603,146.4,0.05031441257,100.6288251,130405.8556
1,2,153302,0.142625,0.479794,0.113508,0.835029,0.178095,0.0772415,7.72415,0.0736603,7.36603,,#DIV/0!,#DIV/0!,130405.8556
1,3,164036,0.144998,0.722378,0.159483,0.44675,0.100707,0.0620334,6.20334,0.29359,29.359,,#DIV/0!,#DIV/0!,45124.06432
1,4,159606,0.0860018,0.591854,0.120904,0.760509,0.18737,0.120195,12.0195,0.132248,13.2248,,#DIV/0!,#DIV/0!,109186.827
1,5,159606,0.0860018,0.591854,0.120904,0.760509,0.368753,0.157358,15.7358,0.132248,13.2248,,#DIV/0!,#DIV/0!,109186.827
1,6,140575,0.0731241,0.473497,0.1774,0.834507,0.258757,0.0731518,7.31518,0.100366,10.0366,,#DIV/0!,#DIV/0!,114072.029
1,7,189827,0.136896,0.529023,0.197627,0.735886,0.257334,0.0589586,5.89586,0.116699,11.6699,166.7,0.07000539892,140.0107978,107866.2424
1,8,214571,0.180685,0.417461,0.200451,0.779326,0.109327,0.0708097,7.08097,0.0452909,4.52909,122.9,0.03685183076,73.70366151,109375.7869
1,9,132630,0.233558,0.711838,0.123652,0.496669,0.255702,0.138017,13.8017,0.256041,25.6041,,#DIV/0!,#DIV/0!,51972.52824
1,10,140209,0.271756,0.621381,0.083668,0.37974,0.291183,0.0850436,8.50436,0.240871,24.0871,,#DIV/0!,#DIV/0!,49154.14246
1,11,122434,0.265156,0.652364,0.120571,0.320316,0.190528,0.11609,11.609,0.37491,37.491,,#DIV/0!,#DIV/0!,32090.0977
1,12,227328,0.261438,0.492732,0.12712,0.3279,0.0540351,0.0477439,4.77439,0.21682,21.682,,#DIV/0!,#DIV/0!,48369.47824
2,1,165085,0.428635,0.472108,0.0915771,0.109612,0.194891,0.130089,13.0089,0.403996,40.3996,,#DIV/0!,#DIV/0!,26057.25755
2,2,165085,0.428635,0.472108,0.0915771,0.109612,0.146243,0.0796072,7.96072,0.403996,40.3996,,#DIV/0!,#DIV/0!,26057.25755
2,3,176226,0.419907,0.499022,0.0864912,0.143898,0.283825,0.131137,13.1137,0.420828,42.0828,,#DIV/0!,#DIV/0!,25673.99979
2,4,154296,0.400997,0.486748,0.0870211,0.162695,0.22384,0.0651905,6.51905,0.360677,36.0677,,#DIV/0!,#DIV/0!,27892.41101
2,5,143996,0.45994,0.463847,0.0735368,0.134106,0.280045,0.0572712,5.72712,0.382662,38.2662,,#DIV/0!,#DIV/0!,25815.98664
2,6,176226,0.419907,0.499022,0.0864912,0.143898,0.0341641,0.0416134,4.16134,0.420828,42.0828,,#DIV/0!,#DIV/0!,25673.99979
2,7,129884,0.369887,0.470931,0.0860999,0.198719,0.156788,0.0726434,7.26434,0.332531,33.2531,,#DIV/0!,#DIV/0!,34097.12999
